ano,sigla_uf,area_total_plantada
2017,RJ,48736
2018,RJ,45895
1994,RN,179432
1995,RN,167903
1996,RN,157366
1997,RN,164527
1998,RN,162189
1999,RN,150391
2000,RN,150268
2001,RN,145593
2002,RN,161713
2003,RN,166318
2004,RN,165821
2005,RN,163735
2006,RN,162177
2007,RN,153995
2008,RN,152033
2009,RN,164868
2010,RN,157161
2011,RN,160826
2012,RN,163137
2013,RN,148154
2014,RN,144561
2015,RN,124969
2016,RN,107279
2017,RN,108009
2018,RN,84206
1994,RO,211599
1995,RO,213038
1996,RO,131745
1997,RO,132436
1998,RO,135148
1999,RO,204041
2000,RO,249212
2001,RO,259811
2002,RO,233319
2003,RO,244016
2004,RO,214874
2005,RO,223183
2006,RO,210902
2007,RO,210403
2008,RO,213112
2009,RO,194100
2010,RO,196584
2011,RO,192060
2012,RO,290461
2013,RO,236923
2014,RO,198744
2015,RO,187845
2016,RO,201096
2017,RO,172061
2018,RO,150947
1994,RR,2981
1995,RR,3101
1996,RR,5982
1997,RR,3100
1998,RR,4586
1999,RR,4511
2000,RR,5014
2001,RR,4509
2002,RR,4581
2003,RR,5661
2004,RR,6896
2005,RR,6901
2006,RR,7487
2007,RR,7487
2008,RR,7510
2009,RR,7510
2010,RR,7303
2011,RR,7529
2012,RR,8646
2013,RR,12624
2014,RR,12636
2015,RR,14934
2016,RR,11927
2017,RR,10820
2018,RR,9490
1994,RS,149540
1995,RS,152838
1996,RS,134491
1997,RS,151990
1998,RS,157574
1999,RS,165088
2000,RS,162130
2001,RS,162564
2002,RS,172634
2003,RS,172225
2004,RS,158121
2005,RS,174782
2006,RS,176145
2007,RS,177899
2008,RS,177310
2009,RS,177953
2010,RS,173184
2011,RS,174426
2012,RS,179329
2013,RS,178549
2014,RS,177184
2015,RS,171957
2016,RS,168458
2017,RS,165128
2018,RS,161936
1994,SC,59354
1995,SC,63446
1996,SC,66765
1997,SC,68115
1998,SC,70424
1999,SC,73462
2000,SC,74531
2001,SC,77964
2002,SC,74519
2003,SC,78392
2004,SC,79294
2005,SC,80300
2006,SC,79063
2007,SC,80313
2008,SC,79954
2009,SC,78764
2010,SC,76315
2011,SC,73380
2012,SC,74143
2013,SC,73073
2014,SC,76993
2015,SC,76922
2016,SC,75607
2017,SC,72768
2018,SC,77504
1994,SE,98182
1995,SE,101383
1996,SE,99664
1997,SE,103590
1998,SE,105813
1999,SE,106927
2000,SE,109058
