ano,estado_abrev,areatotal
1993,RO,199326.676914703
1994,RO,195376.592715585
1995,RO,191833.580550159
1996,RO,188182.214707703
1997,RO,186252.888139455
1998,RO,183489.029383246
1999,RO,182315.005037331
2000,RO,180206.258329491
2001,RO,177548.946157604
2002,RO,174195.24388014
2003,RO,168585.336075232
2004,RO,166187.797706674
2005,RO,162946.36207858
2006,RO,160447.412213489
2007,RO,158962.926844527
2008,RO,157946.46678113
2009,RO,157971.08440972
2010,RO,157787.996468168
2011,RO,156475.951878858
2012,RO,155409.081134102
2013,RO,155490.223074844
2014,RO,154600.125679832
2015,RO,153098.733690974
2016,RO,151710.759124082
2017,RO,149978.147050605
2018,RO,148281.747341551
2019,RO,147077.293608315
1985,RR,220046.226201368
1986,RR,219807.633057157
1987,RR,219296.182777505
1988,RR,219129.13757333
1989,RR,219431.301746258
1990,RR,218906.106464207
1991,RR,218715.051747754
1992,RR,218459.113596912
1993,RR,218876.450441797
1994,RR,218306.035012713
1995,RR,218514.467052408
1996,RR,217783.94297385
1997,RR,218019.804184118
1998,RR,217316.767218542
1999,RR,216512.292128912
2000,RR,216182.692100882
2001,RR,216111.058500232
2002,RR,215528.607640611
2003,RR,215630.978285908
2004,RR,215614.979847344
2005,RR,215364.636095089
2006,RR,215221.557236224
2007,RR,214121.313491968
2008,RR,214648.657440573
2009,RR,215034.553259713
2010,RR,214536.510205522
2011,RR,214566.648443984
2012,RR,214595.767302177
2013,RR,214174.903292633
2014,RR,213751.012561182
2015,RR,213228.095052857
2016,RR,212111.901480123
2017,RR,212565.45783324
2018,RR,211821.268234583
2019,RR,210879.880487621
1985,TO,12625.84248758
1986,TO,12394.904988765
1987,TO,11760.230957073
1988,TO,10967.852173944
1989,TO,10106.792006815
1990,TO,10028.190141557
1991,TO,9707.481474202
1992,TO,9010.380970023
1993,TO,8167.471260388
1994,TO,8569.075743597
1995,TO,7311.394573443
1996,TO,7543.892953017
1997,TO,6976.358418329
1998,TO,7107.274914319
1999,TO,7058.981364842
2000,TO,7049.952714607
2001,TO,6626.110838115
2002,TO,5327.394773028
2003,TO,5826.914366307
2004,TO,6329.608110361
2005,TO,6185.765089933
2006,TO,6344.401520732
2007,TO,6296.057340408
2008,TO,6384.444555
2009,TO,6573.960538374
2010,TO,6223.226299733
2011,TO,6247.363628082
2012,TO,6405.323645797
2013,TO,6747.51513145
2014,TO,6869.58085215
2015,TO,6951.741694783
2016,TO,6592.706261756
2017,TO,6853.48135835
2018,TO,6645.391943539
2019,TO,6596.0485058
